repository_name,repository_url,team_url,last_update,watchers_count,forks_count,open_issues_count,language
intl-locales-supported,https://github.com/yahoo/intl-locales-supported,https://api.github.com/repos/yahoo/intl-locales-supported/teams,2015-07-15T05:59:43Z,5,2,0,JavaScript
grunt-pure-grids,https://github.com/yahoo/grunt-pure-grids,https://api.github.com/repos/yahoo/grunt-pure-grids/teams,2015-02-04T14:59:22Z,5,7,0,CSS
validatar,https://github.com/yahoo/validatar,https://api.github.com/repos/yahoo/validatar/teams,2015-06-26T15:22:15Z,5,1,5,Java
js-module-formats,https://github.com/yahoo/js-module-formats,https://api.github.com/repos/yahoo/js-module-formats/teams,2014-12-29T07:37:35Z,5,6,2,JavaScript
Image-Builder,https://github.com/yahoo/Image-Builder,https://api.github.com/repos/yahoo/Image-Builder/teams,2014-09-28T09:06:41Z,5,3,0,Python
YUI-3-Stockpile,https://github.com/yahoo/YUI-3-Stockpile,https://api.github.com/repos/yahoo/YUI-3-Stockpile/teams,2014-09-09T01:27:27Z,5,3,0,Perl
postmile,https://github.com/yahoo/postmile,https://api.github.com/repos/yahoo/postmile/teams,2013-12-29T20:54:04Z,5,4,0,JavaScript
dupfind,https://github.com/yahoo/dupfind,https://api.github.com/repos/yahoo/dupfind/teams,2013-10-18T16:48:41Z,4,4,0,Java
zsync,https://github.com/yahoo/zsync,https://api.github.com/repos/yahoo/zsync/teams,2014-10-11T09:50:39Z,4,5,2,C
node-xlog,https://github.com/yahoo/node-xlog,https://api.github.com/repos/yahoo/node-xlog/teams,2015-03-01T03:53:36Z,4,3,0,JavaScript
imlost-Android,https://github.com/yahoo/imlost-Android,https://api.github.com/repos/yahoo/imlost-Android/teams,2014-10-15T02:46:20Z,4,4,0,Java
mojito-waterfall,https://github.com/yahoo/mojito-waterfall,https://api.github.com/repos/yahoo/mojito-waterfall/teams,2014-11-22T01:40:27Z,4,4,0,JavaScript
ScalOps,https://github.com/yahoo/ScalOps,https://api.github.com/repos/yahoo/ScalOps/teams,2015-02-10T07:09:41Z,4,1,0,Scala
subscribe-ui-event,https://github.com/yahoo/subscribe-ui-event,https://api.github.com/repos/yahoo/subscribe-ui-event/teams,2015-09-03T17:06:48Z,4,2,0,JavaScript
node-mod_status,https://github.com/yahoo/node-mod_status,https://api.github.com/repos/yahoo/node-mod_status/teams,2015-02-25T07:49:08Z,4,2,0,JavaScript
